name,stop_id,latitude,longitude,line_colour,colour_hex_code,route_name,route_id,region
Teck Whye LRT Station,BP4,1.376684679,103.7537352,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Choa Chu Kang LRT Station,BP1,1.38483636,103.7445797,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
South View LRT Station,BP2,1.380298287,103.7453173,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Layar LRT Station,SW6,1.392079839,103.8800158,Grey,#748477,Sengkang LRT,SL,Singapore
Kangkar LRT Station,SE4,1.383978902,103.9021539,Grey,#748477,Sengkang LRT,SL,Singapore
Meridian LRT Station,PE2,1.396912053,103.9089277,Grey,#748477,Punggol LRT,PL,Singapore
Cheng Lim LRT Station,SW1,1.396277631,103.8937792,Grey,#748477,Sengkang LRT,SL,Singapore
Punggol Point LRT Station,PW3,1.41684852,103.9066284,Grey,#748477,Punggol LRT,PL,Singapore
Sumang LRT Station,PW6,1.408452426,103.8985387,Grey,#748477,Punggol LRT,PL,Singapore
Fernvale LRT Station,SW5,1.391885888,103.8762959,Grey,#748477,Sengkang LRT,SL,Singapore
Tongkang LRT Station,SW7,1.389347953,103.8858287,Grey,#748477,Sengkang LRT,SL,Singapore
Pending LRT Station,BP8,1.376142883,103.7712881,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Teck Lee LRT Station,PW2,1.412770894,103.9065554,Grey,#748477,Punggol LRT,PL,Singapore
Bangkit LRT Station,BP9,1.380017897,103.7726667,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Bakau LRT Station,SE3,1.388092704,103.9054179,Grey,#748477,Sengkang LRT,SL,Singapore
Rumbia LRT Station,SE2,1.391468497,103.9059522,Grey,#748477,Sengkang LRT,SL,Singapore
Compassvale LRT Station,SE1,1.394493046,103.9004726,Grey,#748477,Sengkang LRT,SL,Singapore
Ten Mile Junction LRT Station,BP14,1.380321008,103.760161,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Ranggung LRT Station,SE5,1.384233561,103.897176,Grey,#748477,Sengkang LRT,SL,Singapore
Phoenix LRT Station,BP5,1.378618844,103.7580559,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Segar LRT Station,BP11,1.387772131,103.7696171,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Sengkang LRT Station,STC,1.391609364,103.8954243,Grey,#748477,Sengkang LRT,SL,Singapore
Bras Basah MRT Station,CC2,1.296861687,103.8506629,Yellow,#FF9A00,Circle Line,CCL,Singapore
Macpherson MRT Station,CC10,1.326345372,103.8902718,Yellow,#FF9A00,Circle Line,CCL,Singapore
City Hall MRT Station,EW13,1.292936243,103.852581,Green,#009530,East West Line,EWL,Singapore
City Hall MRT Station,NS25,1.292936243,103.852581,Red,#dc241f,North South Line,NSL,Singapore
Tampines East MRT Station,DT33,1.356191483,103.9546005,Blue,#0354a6,Downtown Line,DTL,Singapore
Tampines West MRT Station,DT31,1.345515305,103.938408,Blue,#0354a6,Downtown Line,DTL,Singapore
Geylang Bahru MRT Station,DT24,1.321505838,103.8718904,Blue,#0354a6,Downtown Line,DTL,Singapore
Bendemeer MRT Station,DT23,1.313672233,103.8629702,Blue,#0354a6,Downtown Line,DTL,Singapore
Bencoolen MRT Station,DT21,1.29886427,103.8503799,Blue,#0354a6,Downtown Line,DTL,Singapore
Harbourfront MRT Station,NE1,1.26547264,103.821446,Purple,#9016b2,North East Line,NEL,Singapore
Harbourfront MRT Station,CC29,1.26547264,103.821446,Yellow,#FF9A00,Circle Line,CCL,Singapore
Promenade MRT Station,DT15,1.292891552,103.860846,Blue,#0354a6,Downtown Line,DTL,Singapore
Bugis MRT Station,DT14,1.299550746,103.8568623,Blue,#0354a6,Downtown Line,DTL,Singapore
Kent Ridge MRT Station,CC24,1.293462633,103.7846438,Yellow,#FF9A00,Circle Line,CCL,Singapore
Macpherson MRT Station,DT26,1.326076883,103.8893356,Blue,#0354a6,Downtown Line,DTL,Singapore
Punggol MRT Station,NE17,1.404546728,103.902052,Purple,#9016b2,North East Line,NEL,Singapore
Tanjong Pagar MRT Station,EW15,1.276521247,103.8458611,Green,#009530,East West Line,EWL,Singapore
One-North MRT Station,CC23,1.299759879,103.7874693,Yellow,#FF9A00,Circle Line,CCL,Singapore
Bishan MRT Station,CC15,1.35130868,103.84915,Yellow,#FF9A00,Circle Line,CCL,Singapore
Stadium MRT Station,CC6,1.30284063,103.8753395,Yellow,#FF9A00,Circle Line,CCL,Singapore
Bugis MRT Station,EW12,1.300465076,103.8557007,Green,#009530,East West Line,EWL,Singapore
Somerset MRT Station,NS23,1.300260055,103.8390737,Red,#dc241f,North South Line,NSL,Singapore
Orchard MRT Station,NS22,1.303981012,103.8322417,Red,#dc241f,North South Line,NSL,Singapore
Jalan Besar MRT Station,DT22,1.305403642,103.8554713,Blue,#0354a6,Downtown Line,DTL,Singapore
Bayfront MRT Station,DT16,1.281873788,103.8590733,Blue,#0354a6,Downtown Line,DTL,Singapore
Bayfront MRT Station,CE1,1.281873788,103.8590733,Yellow,#FF9A00,Circle Line Extension,CCLe,Singapore
Sengkang MRT Station,NE16,1.391694626,103.8954664,Purple,#9016b2,North East Line,NEL,Singapore
Mountbatten MRT Station,CC7,1.306201905,103.8825153,Yellow,#FF9A00,Circle Line,CCL,Singapore
Kovan MRT Station,NE13,1.360179171,103.8850503,Purple,#9016b2,North East Line,NEL,Singapore
Fort Canning MRT Station,DT20,1.292478928,103.8443255,Blue,#0354a6,Downtown Line,DTL,Singapore
Farrer Road MRT Station,CC20,1.317510612,103.8075929,Yellow,#FF9A00,Circle Line,CCL,Singapore
Expo MRT Station,DT35,1.335382137,103.9623407,Blue,#0354a6,Downtown Line,DTL,Singapore
Downtown MRT Station,DT17,1.27944619,103.8528356,Blue,#0354a6,Downtown Line,DTL,Singapore
Buona Vista MRT Station,CC22,1.306491669,103.7906645,Yellow,#FF9A00,Circle Line,CCL,Singapore
Esplanade MRT Station,CC3,1.293321608,103.8554985,Yellow,#FF9A00,Circle Line,CCL,Singapore
Nicoll Highway MRT Station,CC5,1.299766835,103.8636292,Yellow,#FF9A00,Circle Line,CCL,Singapore
Caldecott MRT Station,CC17,1.337674508,103.8395281,Yellow,#FF9A00,Circle Line,CCL,Singapore
Marina Bay MRT Station,NS27,1.276427355,103.8545925,Red,#dc241f,North South Line,NSL,Singapore
Marina Bay MRT Station,CE2,1.276150637,103.8550886,Yellow,#FF9A00,Circle Line Extension,CCLe,Singapore
Labrador Park MRT Station,CC27,1.272332732,103.8029471,Yellow,#FF9A00,Circle Line,CCL,Singapore
Chinatown MRT Station,NE4,1.284359578,103.8434242,Purple,#9016b2,North East Line,NEL,Singapore
Chinatown MRT Station,DT19,1.284748969,103.8444484,Blue,#0354a6,Downtown Line,DTL,Singapore
Newton MRT Station,DT11,1.313607102,103.8378098,Blue,#0354a6,Downtown Line,DTL,Singapore
Tan Kah Kee MRT Station,DT8,1.325883209,103.8073292,Blue,#0354a6,Downtown Line,DTL,Singapore
Tiong Bahru MRT Station,EW17,1.286193393,103.827021,Green,#009530,East West Line,EWL,Singapore
Hillview MRT Station,DT3,1.362344869,103.7674369,Blue,#0354a6,Downtown Line,DTL,Singapore
King Albert Park MRT Station,DT6,1.335665121,103.7838201,Blue,#0354a6,Downtown Line,DTL,Singapore
Mattar MRT Station,DT25,1.326876715,103.8832341,Blue,#0354a6,Downtown Line,DTL,Singapore
Ubi MRT Station,DT27,1.329956826,103.8992348,Blue,#0354a6,Downtown Line,DTL,Singapore
Beauty World MRT Station,DT5,1.341223176,103.77581,Blue,#0354a6,Downtown Line,DTL,Singapore
Kaki Bukit MRT Station,DT28,1.334967302,103.9084393,Blue,#0354a6,Downtown Line,DTL,Singapore
Tampines MRT Station,DT32,1.355077429,103.9430298,Blue,#0354a6,Downtown Line,DTL,Singapore
Bedok North MRT Station,DT29,1.334742117,103.9179554,Blue,#0354a6,Downtown Line,DTL,Singapore
Dhoby Ghaut MRT Station,NS24,1.298701307,103.8461119,Red,#dc241f,North South Line,NSL,Singapore
Serangoon MRT Station,CC13,1.350595256,103.8723572,Yellow,#FF9A00,Circle Line,CCL,Singapore
Woodleigh MRT Station,NE11,1.339190046,103.8708081,Purple,#9016b2,North East Line,NEL,Singapore
Novena MRT Station,NS20,1.320440791,103.8438228,Red,#dc241f,North South Line,NSL,Singapore
Serangoon MRT Station,NE12,1.349707875,103.8735637,Purple,#9016b2,North East Line,NEL,Singapore
Bedok Reservoir MRT Station,DT30,1.33660783,103.9322077,Blue,#0354a6,Downtown Line,DTL,Singapore
Marina South Pier MRT Station,NS28,1.271336711,103.8628525,Red,#dc241f,North South Line,NSL,Singapore
Farrer Park MRT Station,NE8,1.31235984,103.8541717,Purple,#9016b2,North East Line,NEL,Singapore
Paya Lebar MRT Station,CC9,1.317430268,103.8921633,Yellow,#FF9A00,Circle Line,CCL,Singapore
Bartley MRT Station,CC12,1.342828338,103.8797462,Yellow,#FF9A00,Circle Line,CCL,Singapore
Dakota MRT Station,CC8,1.30838264,103.888648,Yellow,#FF9A00,Circle Line,CCL,Singapore
Pasir Panjang MRT Station,CC26,1.276213523,103.7913607,Yellow,#FF9A00,Circle Line,CCL,Singapore
Outram Park MRT Station,NE3,1.28140498,103.839125,Purple,#9016b2,North East Line,NEL,Singapore
Clarke Quay MRT Station,NE5,1.288386024,103.8465519,Purple,#9016b2,North East Line,NEL,Singapore
Bishan MRT Station,NS17,1.350838988,103.8481398,Red,#dc241f,North South Line,NSL,Singapore
Botanic Gardens MRT Station,DT9,1.322423979,103.8161362,Blue,#0354a6,Downtown Line,DTL,Singapore
Marymount MRT Station,CC16,1.348707263,103.8394214,Yellow,#FF9A00,Circle Line,CCL,Singapore
Haw Par Villa MRT Station,CC25,1.282542157,103.7818234,Yellow,#FF9A00,Circle Line,CCL,Singapore
Lorong Chuan MRT Station,CC14,1.351612171,103.8641434,Yellow,#FF9A00,Circle Line,CCL,Singapore
Lavender MRT Station,EW11,1.30735702,103.8628215,Green,#009530,East West Line,EWL,Singapore
Dhoby Ghaut MRT Station,NE6,1.299705459,103.8454851,Purple,#9016b2,North East Line,NEL,Singapore
Dhoby Ghaut MRT Station,CC1,1.298842816,103.8462358,Yellow,#FF9A00,Circle Line,CCL,Singapore
Tai Seng MRT Station,CC11,1.335433322,103.88818,Yellow,#FF9A00,Circle Line,CCL,Singapore
Rochor MRT Station,DT13,1.306800025,103.8496427,Blue,#0354a6,Downtown Line,DTL,Singapore
Little India MRT Station,DT12,1.303916484,103.8524167,Blue,#0354a6,Downtown Line,DTL,Singapore
Little India MRT Station,NE7,1.307198223,103.8485807,Purple,#9016b2,North East Line,NEL,Singapore
Stevens MRT Station,DT10,1.320065557,103.8260263,Blue,#0354a6,Downtown Line,DTL,Singapore
Bukit Panjang MRT Station,DT1,1.379002117,103.7615559,Blue,#0354a6,Downtown Line,DTL,Singapore
Cashew MRT Station,DT2,1.369369831,103.764714,Blue,#0354a6,Downtown Line,DTL,Singapore
Sixth Avenue MRT Station,DT7,1.330786387,103.7972561,Blue,#0354a6,Downtown Line,DTL,Singapore
Toa Payoh MRT Station,NS19,1.332628987,103.8474979,Red,#dc241f,North South Line,NSL,Singapore
Woodlands South MRT Station,TE3,1.4272,103.7943,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Potong Pasir MRT Station,NE10,1.331379525,103.869046,Purple,#9016b2,North East Line,NEL,Singapore
Hougang MRT Station,NE14,1.371292292,103.8923636,Purple,#9016b2,North East Line,NEL,Singapore
Boon Keng MRT Station,NE9,1.319395706,103.861679,Purple,#9016b2,North East Line,NEL,Singapore
Upper Changi MRT Station,DT34,1.341737484,103.9614367,Blue,#0354a6,Downtown Line,DTL,Singapore
