name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region
Sentul,KC01,Keretapi Tanah Melayu,3.1823031,101.6887043,KC,Seremban Line,1,Blue,#0000FF,Klang Valley
Batu Kentomen,KC02,Keretapi Tanah Melayu,3.1983357,101.6811632,KC,Seremban Line,1,Blue,#0000FF,Klang Valley
Kampung Batu,KC03,Keretapi Tanah Melayu,3.2047963,101.675646,KC,Seremban Line,1,Blue,#0000FF,Klang Valley
Taman Wahyu,KC04,Keretapi Tanah Melayu,3.2145439,101.6721822,KC,Seremban Line,1,Blue,#0000FF,Klang Valley
Batu Caves,KC05,Keretapi Tanah Melayu,3.2378874,101.6811872,KC,Seremban Line,1,Blue,#0000FF,Klang Valley
KL Sentral,KA01,Keretapi Tanah Melayu,3.134603,101.686567,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Kuala Lumpur,KA02,Keretapi Tanah Melayu,3.1395804,101.693629,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Bank Negara,KA03,Keretapi Tanah Melayu,3.1545691,101.6929903,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Putra,KA04,Keretapi Tanah Melayu,3.165005,101.691234,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Segambut,KA05,Keretapi Tanah Melayu,3.1864391,101.6642105,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Kepong,KA06,Keretapi Tanah Melayu,3.20281,101.6374,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Kepong Sentral,KA07,Keretapi Tanah Melayu,3.2086928,101.6285123,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Sungai Buloh,KA08,Keretapi Tanah Melayu,3.206204,101.580781,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Kuang,KA09,Keretapi Tanah Melayu,3.25826,101.55473,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Rawang,KA10,Keretapi Tanah Melayu,3.31885,101.57498,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Serendah,KA11,Keretapi Tanah Melayu,3.3760667,101.6144481,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
