entrance_id,longitude,latitude,entrance_destination,entrance_name
1544031348,101.7113737,3.1459286,,B
1631412559,101.6049325,3.1132076,,
1632120095,101.6943399,3.1423198,,E
2278515570,101.644077,3.0506498,,
2686635178,101.6991821,3.1385646,,C
2688004520,101.7161427,3.1287493,,
3308608988,101.7127175,3.1587619,,
3308608989,101.7125072,3.1588091,,
3948655246,101.7216509,3.2197982,,
4092013971,101.6141298,3.0222312,,
4400847336,101.699065,3.1391129,,A
4533242217,101.578194,3.199222,Kampung Selamat,A
4952299496,101.7290571,3.1117149,Velodrom KL;Jalan Cheras,B
4952299503,101.7327199,3.1046709,,B
5040821684,101.7117293,3.146919,,D
5040821685,101.7116779,3.1471083,,E
5040821686,101.7110722,3.1469708,,F
5040821688,101.7099729,3.1461865,,A
5040821689,101.7105645,3.1459943,,C
5042521354,101.7269761,3.1253842,,A
5042521355,101.7277502,3.1242309,,D
5042521364,101.727334,3.1238622,,C
5042521365,101.7269783,3.1245224,,B
5043240641,101.702138,3.142434,,A
5043240648,101.7027996,3.1416851,,B
5044809566,101.6955575,3.1421773,,B
5044809567,101.6968069,3.1424829,,A
5044809568,101.6876932,3.1373932,Muzium Negara,B
5044809569,101.6877598,3.1369827,,A
5044809580,101.7229314,3.1329233,,A
5044809584,101.723198,3.1320204,,B
5044809585,101.7197635,3.1431359,,A
5044809586,101.7200141,3.1425578,,B
5261439396,101.5647253,3.1701365,,A
5261535528,101.5787927,3.1967103,Jalan Sungai Buloh,B
5261535531,101.5776747,3.198102,Jalan Welfare,C
5261535537,101.5651486,3.1698737,,B
5261535560,101.607848,3.1559391,Jalan PJU 7/1,C
5261535561,101.6082016,3.1559331,Jalan PJU 7/1,B
5261535570,101.6091179,3.1548991,Persiaran Surian,A
5261535576,101.6091314,3.1555885,Surian Tower;The Curve,D
5261535590,101.6188927,3.1457012,,A
5383383307,101.6455336,3.1037967,,
5385396790,101.6656456,3.1506493,Jalan Damansara Endah,A
5385396799,101.6657104,3.151504,,B
5386930796,101.6954278,3.1725154,Hentian Bas Titiwangsa,
5392028001,101.719112,3.1598932,,
5469085305,101.7745994,3.0483351,Bandar Tun Hussein Onn,A
5469085306,101.7742876,3.0483404,Park & Ride,B
5469085436,101.7402187,3.0906021,Taman Mutiara;Jalan Mutiara Raya,A
5469085437,101.7406462,3.0914822,Taman Segar,B
5469085483,101.7730056,3.0623535,Taman Sri Raya,A
5469085491,101.7727877,3.06117,Taman Kota Cheras,C
5469085492,101.7735523,3.0616414,Taman Sri Raya,B
5469085624,101.7709892,3.0272459,,A
5469085625,101.7720253,3.0273688,Jalan Cheras,B
5469085628,101.783749,3.0004592,Jalan Cheras-KL,A
5469085629,101.7837971,3.0013333,KPJ Kajang,B
5469085630,101.7859006,2.9928751,,B
5469085631,101.7861107,2.9944474,,A
5469085632,101.7862931,2.9934309,,C
5469085633,101.7637348,3.0716741,Taman Suntex;Jalan Kinabalu,A
5469085640,101.7460092,3.0785733,,A
5469085641,101.7450245,3.079458,,B
5469085643,101.7453768,3.0784507,,
5469085650,101.7296842,3.1118305,Taman Pertama;Jalan 2/90,A
5469085653,101.7730937,3.0412813,Jalan SS 2/2,A
5484250431,101.6625513,3.1435532,Jalan Johar,B
5484250432,101.6631665,3.1434524,Jalan Maarof;HELP Residen,A
5484250466,101.6429952,3.1295348,Lebuhraya SPRINT,B
5484250467,101.6427645,3.1283539,Jalan 16/11;Pusat Dagangan Phileo Damansara;Eastin Hotel;Menara Star,A
5484250474,101.6312433,3.1360369,Jalan Wan Kadir 4,B
5484250475,101.6302937,3.1356637,Menara Glomac,A
5484616509,101.5936166,3.1498921,Jalan PJU 5/8;Sunway Giza;Dataran Sunway;Encorp Strand Mall,B
5484616510,101.5935975,3.1494285,Persiaran Surian;Tropicana Gardens;Kelab Golf Seri Selangor;Casa Indah,A
5484616643,101.5793786,3.1504398,,B
5484616646,101.5786349,3.1499793,,A
5485710268,101.7184192,3.1604066,,
5485710278,101.7066199,3.1612445,,
5485710279,101.7072844,3.1615617,,
5486069126,101.5901459,3.0954324,,
5488029391,101.6183414,3.1471418,,B
5581685893,101.7117341,3.1460892,,D
5624757756,101.6956284,3.1733467,,C
5624757758,101.6958272,3.1729584,,B
5641420313,101.6985721,3.1591411,,B
5724964836,101.6985435,3.1594271,,C
5737775567,101.7529585,3.1386168,Taman Cahaya;Taman Nirwana,
5858640711,101.7116087,3.1462184,,C
5858640712,101.711317,3.1461311,,A
6162833429,101.5820341,3.0296234,,
6162845303,101.581271,3.0295794,,
6375602764,101.7116602,3.1460214,,E
6575190638,101.7080119,3.0634977,,B
6782815005,101.7057869,3.1406982,,A
6782815006,101.7061612,3.1410094,,B
7042863007,101.70592,3.1403717,,C
7056476413,101.6447482,3.0509932,Kinrara Park;SMK Seksyen 1 Bandar Kinrara,
7056476416,101.6451675,3.0503339,,
