Relationship ID,Entrance ID,Station Name,Station Code
261,9919591009,Sri Delima,PY12
262,9849815470,Sri Delima,PY12
263,9774145253,Kampung Batu (PY),PY13
264,9853266686,Kwasa Damansara (PY),PY01
265,9378300196,Kentonmen,PY14
266,9378325928,Kentonmen,PY14
267,9913020229,Sentul Barat,PY16
268,9913020228,Sentul Barat,PY16
269,10660535048,Jalan Ipoh,PY15
270,9913020238,Jalan Ipoh,PY15
271,10727805627,Jalan Ipoh,PY15
272,9914411090,Serdang Raya Utara,PY31
273,10211729864,Serdang Raya Utara,PY31
274,9914411088,Serdang Raya Selatan,PY32
275,10211729868,Serdang Raya Selatan,PY32
276,10795590948,Kuchai,PY27
277,10727740945,Taman Naga Emas,PY28
278,10270864772,Titiwangsa (MRT),PY17
279,10270868702,Titiwangsa (MRT),PY17
280,10270868726,Hospital Kuala Lumpur,PY18
281,10270868727,Hospital Kuala Lumpur,PY18
282,10271036579,Raja Uda,PY19
283,10271036580,Raja Uda,PY19
284,10270868745,Raja Uda,PY19
285,10271036605,Ampang Park (MRT),PY20
286,9900002870,Ampang Park (MRT),PY20
287,10216200615,Persiaran KLCC,PY21
288,10271036606,Persiaran KLCC,PY21
289,10271039842,Conlay,PY22
290,10271039830,Conlay,PY22
291,9924537197,Chan Sow Lin (MRT),PY24
292,10271036984,Chan Sow Lin (MRT),PY24
293,10271071855,Chan Sow Lin (MRT),PY24
294,10271036965,Chan Sow Lin (MRT),PY24
295,9646411432,Sungai Besi (MRT),PY29
296,6575190638,Sungai Besi (MRT),PY29
297,10594184537,Serdang Jaya,PY33
298,10594184538,Serdang Jaya,PY33
299,10611678880,UPM,PY34
300,10706850272,Taman Equine,PY36
301,10723194529,Taman Equine,PY36
302,10611678881,Putra Permai,PY37
303,10266244039,Putra Permai,PY37
304,10611678882,16 Sierra,PY38
305,10839997852,Cyberjaya Utara,PY39
306,10658294223,Cyberjaya City Centre,PY30
307,10722980582,Putrajaya Sentral (MRT),PY41
308,5044809585,Tun Razak Exchange (PY),PY23
309,5044809586,Tun Razak Exchange (PY),PY23
