Entrance ID,Entrance Name,Entrance Destination,Longitude,Latitude,Station Name
7387995584,C,,101.7098758,3.1427270,Imbi
7702628710,B,,101.7908900,2.9838212,Kajang (KTM)
7733651045,,,101.6125364,3.0162107,Bandar Puteri
7733651046,,,101.6128542,3.0160515,Bandar Puteri
8074913901,,,101.5907454,3.0961458,Glenmarie
8711020731,,,101.5859412,3.0670668,SS18
9221724469,A,,101.6558631,3.2097348,Jinjang
9221724470,A,,101.6559017,3.2093868,Jinjang
9221724471,B,,101.6480120,3.2107181,Kepong Baru
9221724474,,,101.6083453,3.1978429,Sri Damansara Barat
9221724475,,,101.6080406,3.1985341,Sri Damansara Barat
9221724476,,,101.5924942,3.2000956,Damansara Damai
9229552290,,,101.6208466,3.1986159,Sri Damansara Sentral
9229552291,,,101.6208793,3.1983477,Sri Damansara Sentral
9229566390,,,101.5925125,3.1997354,Damansara Damai
9358657242,C,,101.5948556,3.1500335,Surian
9361137458,,,101.6126430,3.1108192,Taman Bahagia
9378300196,B,,101.6792866,3.1939803,Kentonmen
9378325928,A,,101.6797648,3.1964629,Kentonmen
9439800347,D,,101.7065497,3.1406353,Hang Tuah (Monorail)
9504210024,A,,101.6909066,3.1315206,Tun Sambanthan
9504210028,A,,101.6878032,3.1328157,KL Sentral (Monorail)
9508388055,D,,101.7094062,3.1426296,Imbi
9508388057,E,,101.7095249,3.1425262,Imbi
9508388060,B,,101.7094003,3.1430137,Imbi
9508388065,B,,101.7102446,3.1509066,Raja Chulan
9508388066,C,,101.7105244,3.1508352,Raja Chulan
9508388067,A,,101.7101502,3.1506686,Raja Chulan
9508388068,A,,101.7045396,3.1562731,Bukit Nanas
9508388069,B,,101.7049268,3.1563885,Bukit Nanas
9508388070,C,,101.7050705,3.1559980,Bukit Nanas
9508388071,D,,101.6991144,3.1593744,Medan Tuanku
9508388072,A,,101.6982849,3.1669355,Chow Kit
9508388077,B,,101.6989708,3.1675364,Chow Kit
9508388079,A,,101.6960765,3.1730738,Titiwangsa (Monorail)
9646411432,A,,101.7087611,3.0636527,Sungai Besi (MRT)
9740843587,B,,101.6966656,3.1495984,Masjid Jamek (KJ)
9774145253,A,,101.6755411,3.2051788,Kampung Batu (PY)
9849423415,,,101.5804609,3.2064203,Sungai Buloh (PY)
9849457821,,,101.5809062,3.2057282,Sungai Buloh (PY)
9849592637,,,101.5923368,3.2000096,Damansara Damai
9849815460,B,,101.6396741,3.2140816,Metro Prima
9849815463,B,,101.6557640,3.2086060,Jinjang
9849815470,C,,101.6661940,3.2067994,Sri Delima
9849815474,B,,101.6665480,3.2054264,Sri Delima
9850359889,,,101.6285850,3.2079071,Sri Damansara Timur
9850375320,A,,101.6399277,3.2144708,Metro Prima
9850375370,A,,101.6489325,3.2113028,Kepong Baru
9850375371,C,,101.6487012,3.2112522,Kepong Baru
9853266686,A,,101.5723031,3.1766755,Kwasa Damansara (PY)
9900002870,B,,101.7178503,3.1616711,Ampang Park (MRT)
9909030875,,,101.6045094,3.1127417,Kelana Jaya
9913020228,C,Jalan Sultan Azlan Shah (Kuala Lumpur),101.6844092,3.1795286,Sentul Barat
9913020229,B,Jalan Sultan Azlan Shah (Kepong),101.6851874,3.1785215,Sentul Barat
9913020238,B,Jalan Sultan Azlan Shah,101.6814220,3.1895909,Jalan Ipoh
9913027336,A,,101.6953780,3.1856051,Sentul Timur
9914411088,A,Jalan Utama,101.7072341,3.0285907,Serdang Raya Selatan
9914411090,A,Jalan Utama,101.7047478,3.0416764,Serdang Raya Utara
9919591009,C,,101.6658468,3.2071860,Sri Delima
9924537172,,,101.6134420,3.0227412,Taman Perindustrian Puchong
9924537173,A,,101.6871067,3.0611094,Sri Petaling
9924537197,A,,101.7159290,3.1288205,Chan Sow Lin (MRT)
9933445412,B,,101.7361181,3.1760297,Setiawangsa
9933445415,A,,101.7357293,3.1758808,Setiawangsa
9933445416,C,,101.7352650,3.1756716,Setiawangsa
9983121349,E,,101.6989191,3.1594579,Medan Tuanku
9983121350,C,,101.6965409,3.1491501,Masjid Jamek (AG SP)
9983207462,,,101.6231592,3.1048242,Taman Paramount
10211729864,B,Jalan OS (One South City),101.7057771,3.0431699,Serdang Raya Utara
10211729868,B,Jalan SP 2/4 (Taman Serdang Perdana),101.7077539,3.0295622,Serdang Raya Selatan
10216200615,B,,101.7183643,3.1574126,Persiaran KLCC
10223843931,A,,101.7900849,2.9829814,Kajang (KTM)
10266244039,B,,101.6606750,2.9835803,Putra Permai
10270864772,A,Jalan Pahang Barat,101.6958928,3.1737287,Titiwangsa (MRT)
10270868702,B,,101.6972538,3.1741978,Titiwangsa (MRT)
10270868726,A,,101.7006824,3.1730906,Hospital Kuala Lumpur
10270868727,B,,101.7023686,3.1740579,Hospital Kuala Lumpur
10270868745,D,Jalan Tun Razak,101.7124702,3.1677410,Raja Uda
10271036579,A,Jalan Raja Muda Abdul Aziz,101.7099059,3.1677008,Raja Uda
10271036580,B,Jalan Raja Muda Abdul Aziz,101.7097873,3.1681411,Raja Uda
10271036605,A,,101.7181542,3.1625464,Ampang Park (MRT)
10271036965,C,Jalan Metro Pudu,101.7149780,3.1269192,Chan Sow Lin (MRT)
10271036984,A,Jalan Chan Sow Lin,101.7165731,3.1285816,Chan Sow Lin (MRT)
10271039830,B,,101.7181983,3.1501510,Conlay
10271039842,A,,101.7184289,3.1517688,Conlay
10271071855,B,,101.7161066,3.1275982,Chan Sow Lin (MRT)
10594184537,A,Jalan Raya Satu (Balai Bomba Serdang),101.7090959,3.0213387,Serdang Jaya
10594184538,B,Jalan Raya Satu (Taman Kembang Sari),101.7087929,3.0214876,Serdang Jaya
10611678880,A,,101.7061990,3.0086059,UPM
10611678881,A,,101.6612310,2.9833139,Putra Permai
10611678882,B,Persiaran Sierra Utama,101.6545593,2.9650184,16 Sierra
10658294223,A,Off Persiaran APEC,101.6653737,2.9395168,Cyberjaya City Centre
10660535048,A,Jalan Sultan Azlan Shah (Kompleks Mutiara),101.6806186,3.1897855,Jalan Ipoh
10706850272,B,Jalan Putra Permai,101.6724086,2.9898661,Taman Equine
10722980582,B,,101.6717395,2.9317531,Putrajaya Sentral (MRT)
10723194529,A,Jalan PP 40,101.6727608,2.9891003,Taman Equine
10727740945,A,Off Jalan 4/140,101.6996604,3.0771713,Taman Naga Emas
10727805627,C,Jalan Sultan Azlan Shah (Ke Arah Kepong),101.6801389,3.1905574,Jalan Ipoh
10795590948,A,,101.6938877,3.0896471,Kuchai
10795657618,,,101.6454638,3.1038599,Taman Jaya
10796851698,,,101.7121408,3.1347568,Pudu
10800273158,C,,101.6955989,3.1425051,Pasar Seni (KG)
10804709653,A,,101.6620724,3.1146593,Universiti
10804709680,,,101.6620960,3.1145737,Universiti
10830050822,C,,101.6877622,3.1328275,KL Sentral (Monorail)
10839997852,A,Off Persiaran APEC,101.6572070,2.9497119,Cyberjaya Utara
10860751179,D,,101.6952256,3.1732229,Titiwangsa (LRT)
10864116957,,,101.7314751,3.1651901,Dato' Keramat
10949038882,,,101.6808258,3.2376063,
10949038884,,,101.6814387,3.2377790,
