Entrance ID,Entrance Name,Entrance Destination,Longitude,Latitude,Station Name
1544031348,B,,101.7113737,3.1459286,Bukit Bintang (Monorail)
1631412559,,,101.6049519,3.1132222,Kelana Jaya
2278515570,,,101.6440770,3.0506498,Kinrara BK 5
2686635178,C,,101.6991821,3.1385646,Maharajalela
3308608988,,,101.7127175,3.1587619,KLCC
3308608989,,,101.7125072,3.1588091,KLCC
4092013971,,,101.6141298,3.0222312,Taman Perindustrian Puchong
4400847336,A,,101.6989388,3.1392105,Maharajalela
4533242217,,,101.5781940,3.1992220,Kampung Selamat
4952299496,B,,101.7290571,3.1117149,Taman Pertama
4952299503,B,,101.7327199,3.1046709,Taman Midah
5040821684,D,,101.7117293,3.1469190,Bukit Bintang (KG)
5040821685,E,,101.7116779,3.1471083,Bukit Bintang (KG)
5040821686,F,,101.7110722,3.1469708,Bukit Bintang (KG)
5040821688,A,,101.7099729,3.1461865,Bukit Bintang (KG)
5040821689,C,,101.7105645,3.1459943,Bukit Bintang (KG)
5042521354,A,,101.7269761,3.1253842,Maluri (KG)
5042521355,D,,101.7277502,3.1242309,Maluri (KG)
5042521364,C,,101.7273764,3.1238629,Maluri (KG)
5042521365,B,,101.7269783,3.1245224,Maluri (KG)
5043240641,A,,101.7021380,3.1424340,Merdeka
5043240648,B,,101.7027996,3.1416851,Merdeka
5044809566,B,,101.6955575,3.1421773,Pasar Seni (KG)
5044809567,A,,101.6968069,3.1424829,Pasar Seni (KG)
5044809568,B,Muzium Negara,101.6876932,3.1373932,Muzium Negara
5044809569,A,,101.6877598,3.1369827,Muzium Negara
5044809580,A,,101.7229314,3.1329233,Cochrane
5044809584,B,,101.7231980,3.1320204,Cochrane
5044809585,A,,101.7198454,3.1429773,Tun Razak Exchange (PY)
5044809586,B,,101.7200141,3.1425578,Tun Razak Exchange (PY)
5261439396,A,,101.5647253,3.1701365,Kwasa Sentral
5261535528,,,101.5787927,3.1967103,Kampung Selamat
5261535531,,,101.5776747,3.1981020,Kampung Selamat
5261535537,B,,101.5651486,3.1698737,Kwasa Sentral
